resource_id,topic_id,resource_type,title,provider,url,purpose,estimated_minutes,is_primary,is_optional,sequence_order,last_verified_at,is_active,created_at,updated_at
res_capstone_evidently,capstone_ml_architect_001,open_source_tool,Evidently monitoring documentation,Evidently,https://docs.evidentlyai.com/introduction,Optional implementation reference for monitor and validation artifacts.,15,false,true,2,2026-05-27 18:21:28.006161+00,true,2026-05-27 18:21:28.006161+00,2026-05-27 18:21:28.006161+00
res_capstone_google_prodml,capstone_ml_architect_001,course,Production ML systems,Google Machine Learning Crash Course,https://developers.google.com/machine-learning/crash-course/production-ml-systems,"Use when assembling the monitoring, release-control and ownership sections of the capstone.",15,true,true,1,2026-05-27 18:21:28.006161+00,true,2026-05-27 18:21:28.006161+00,2026-05-27 18:21:28.006161+00
res_checkpoint_google_mlcc,checkpoint_ml_architect_001,course,Machine Learning Crash Course,Google for Developers,https://developers.google.com/machine-learning/crash-course,Use selectively to revise weak concepts exposed by the architect checkpoint.,,true,true,1,2026-05-27 18:21:28.006161+00,true,2026-05-27 18:21:28.006161+00,2026-05-27 18:21:28.006161+00
res_checkpoint_sklearn_mooc,checkpoint_ml_architect_001,course,Machine learning in Python with scikit-learn,INRIA / scikit-learn MOOC,https://inria.github.io/scikit-learn-mooc/,"Free practical course for revising validation, model selection and evaluation.",,false,true,2,2026-05-27 18:21:28.006161+00,true,2026-05-27 18:21:28.006161+00,2026-05-27 18:21:28.006161+00
res_mlf019_sklearn_importance,mlf_019,official_reference,Permutation Feature Importance,scikit-learn,https://scikit-learn.org/stable/modules/permutation_importance.html,Use after the lesson to reinforce that importance describes model dependence and must be interpreted carefully.,12,true,true,1,2026-05-27 18:21:28.006161+00,true,2026-05-27 18:21:28.006161+00,2026-05-27 18:21:28.006161+00
res_mlf020_evidently,mlf_020,open_source_tool,Evidently open-source evaluation and monitoring documentation,Evidently,https://docs.evidentlyai.com/introduction,"Optional practical reference for drift, testing and model-monitoring implementation ideas.",15,false,true,2,2026-05-27 18:21:28.006161+00,true,2026-05-27 18:21:28.006161+00,2026-05-27 18:21:28.006161+00
res_mlf020_google_prodml,mlf_020,course,Production ML systems,Google Machine Learning Crash Course,https://developers.google.com/machine-learning/crash-course/production-ml-systems,Shows why deployed ML requires data verification and monitoring beyond the model itself.,15,true,true,1,2026-05-27 18:21:28.006161+00,true,2026-05-27 18:21:28.006161+00,2026-05-27 18:21:28.006161+00
res_mlf021_inria_nested,mlf_021,notebook,Nested cross-validation,INRIA scikit-learn MOOC,https://inria.github.io/scikit-learn-mooc/python_scripts/cross_validation_nested.html,Free practical notebook showing why model selection and honest evaluation must be separated.,25,false,true,2,2026-05-27 18:21:28.006161+00,true,2026-05-27 18:21:28.006161+00,2026-05-27 18:21:28.006161+00
res_mlf021_sklearn_cv,mlf_021,official_reference,Cross-validation: evaluating estimator performance,scikit-learn,https://scikit-learn.org/stable/modules/cross_validation.html,Reference for choosing validation schemes and understanding group-aware and time-aware splitting.,18,true,true,1,2026-05-27 18:21:28.006161+00,true,2026-05-27 18:21:28.006161+00,2026-05-27 18:21:28.006161+00
res_mlf022_inria_nested,mlf_022,notebook,Nested cross-validation,INRIA scikit-learn MOOC,https://inria.github.io/scikit-learn-mooc/python_scripts/cross_validation_nested.html,Hands-on reinforcement that tuning is itself a learning process and needs independent final evidence.,25,false,true,2,2026-05-27 18:21:28.006161+00,true,2026-05-27 18:21:28.006161+00,2026-05-27 18:21:28.006161+00
res_mlf022_inria_video,mlf_022,video,Machine learning in Python with scikit-learn . Video playlist,INRIA / scikit-learn MOOC,https://www.youtube.com/playlist?list=PL2okA_2qDJ-m44KooOI7x8tu85wr4ez4f,Optional video support when the written explanation has not made model selection and tuning click.,,false,true,3,2026-05-27 18:21:28.006161+00,true,2026-05-27 18:21:28.006161+00,2026-05-27 18:21:28.006161+00
res_mlf022_sklearn_tuning,mlf_022,official_reference,Tuning the hyper-parameters of an estimator,scikit-learn,https://scikit-learn.org/stable/modules/grid_search.html,"Primary reference for search methods, search spaces and evaluation discipline.",20,true,true,1,2026-05-27 18:21:28.006161+00,true,2026-05-27 18:21:28.006161+00,2026-05-27 18:21:28.006161+00
res_mlf023_google_roc_pr,mlf_023,course,"ROC, AUC and precision-recall curves",Google Machine Learning Crash Course,https://developers.google.com/machine-learning/crash-course/classification/roc-and-auc,Explains why PR curves can be more informative for imbalanced defect detection.,10,false,true,2,2026-05-27 18:21:28.006161+00,true,2026-05-27 18:21:28.006161+00,2026-05-27 18:21:28.006161+00
res_mlf023_google_threshold,mlf_023,course,Thresholds and the confusion matrix,Google Machine Learning Crash Course,https://developers.google.com/machine-learning/crash-course/classification/thresholding,Interactive reinforcement for how moving a threshold changes true and false positives and negatives.,12,true,true,1,2026-05-27 18:21:28.006161+00,true,2026-05-27 18:21:28.006161+00,2026-05-27 18:21:28.006161+00
res_mlf023_sklearn_threshold,mlf_023,official_reference,Tuning the decision threshold for class prediction,scikit-learn,https://scikit-learn.org/stable/modules/classification_threshold.html,Technical reference for threshold policies in a scikit-learn workflow.,15,false,true,3,2026-05-27 18:21:28.006161+00,true,2026-05-27 18:21:28.006161+00,2026-05-27 18:21:28.006161+00
res_mlf024_sklearn_calibration,mlf_024,official_reference,Probability calibration,scikit-learn,https://scikit-learn.org/stable/modules/calibration.html,"Primary reference for reliability diagrams, calibrated confidence and recalibration.",20,true,true,1,2026-05-27 18:21:28.006161+00,true,2026-05-27 18:21:28.006161+00,2026-05-27 18:21:28.006161+00
