id,run_id,topic_id,event_type,payload,created_at
1,,,connection_test,"{""message"":""Supabase connection works""}",2026-05-01 11:47:52.614363+00
2,20260501_115533_mlf_001,mlf_001,evaluation_complete,"{""scores"":{""communication"":3,""conceptual_clarity"":3,""architect_reasoning"":3,""practical_reasoning"":3},""status"":""completed"",""decision"":""borderline"",""reward_summary"":{""run_id"":""20260501_115533_mlf_001"",""decision"":""borderline"",""topic_id"":""mlf_001"",""total_xp"":80,""xp_earned"":40,""best_stars"":3,""topic_title"":""What machine learning is actually learning"",""stars_earned"":3,""badges_awarded"":[],""best_completion_streak"":0,""current_completion_streak"":0},""unlocked_topics"":[""mlf_002""]}",2026-05-01 12:13:12.219487+00
3,20260501_121700_mlf_002,mlf_002,evaluation_complete,"{""scores"":{""communication"":3,""conceptual_clarity"":3,""architect_reasoning"":2,""practical_reasoning"":3},""status"":""completed"",""decision"":""borderline"",""reward_summary"":{""run_id"":""20260501_121700_mlf_002"",""decision"":""borderline"",""topic_id"":""mlf_002"",""total_xp"":120,""xp_earned"":40,""best_stars"":3,""topic_title"":""Features vs labels"",""stars_earned"":3,""badges_awarded"":[],""best_completion_streak"":0,""current_completion_streak"":0},""unlocked_topics"":[""mlf_003""]}",2026-05-02 07:20:24.961554+00
4,20260502_072407_mlf_003,mlf_003,evaluation_complete,"{""scores"":{""communication"":3,""conceptual_clarity"":3,""architect_reasoning"":3,""practical_reasoning"":3},""status"":""completed"",""decision"":""borderline"",""reward_summary"":{""run_id"":""20260502_072407_mlf_003"",""decision"":""borderline"",""topic_id"":""mlf_003"",""total_xp"":160,""xp_earned"":40,""best_stars"":3,""topic_title"":""Training data vs test data"",""stars_earned"":3,""badges_awarded"":[],""best_completion_streak"":0,""current_completion_streak"":0},""unlocked_topics"":[""mlf_004"",""mlf_005""]}",2026-05-02 13:17:30.211769+00
5,20260502_212052_mlf_004,mlf_004,evaluation_complete,"{""scores"":{""communication"":3,""conceptual_clarity"":3,""architect_reasoning"":2,""practical_reasoning"":3},""status"":""completed"",""decision"":""borderline"",""reward_summary"":{""run_id"":""20260502_212052_mlf_004"",""decision"":""borderline"",""topic_id"":""mlf_004"",""total_xp"":200,""xp_earned"":40,""best_stars"":3,""topic_title"":""What a baseline really is"",""stars_earned"":3,""badges_awarded"":[],""best_completion_streak"":0,""current_completion_streak"":0},""unlocked_topics"":[""mlf_009""]}",2026-05-02 21:39:08.674427+00
6,20260503_120911_mlf_005,mlf_005,evaluation_complete,"{""scores"":{""communication"":1,""conceptual_clarity"":1,""architect_reasoning"":1,""practical_reasoning"":1},""status"":""fail_prereq"",""decision"":""fail_prereq"",""reward_summary"":{""run_id"":""20260503_120911_mlf_005"",""decision"":""fail_prereq"",""topic_id"":""mlf_005"",""total_xp"":212,""xp_earned"":12,""best_stars"":1,""topic_title"":""Generalization"",""stars_earned"":1,""badges_awarded"":[],""best_completion_streak"":0,""current_completion_streak"":0},""unlocked_topics"":[]}",2026-05-03 12:16:24.588698+00
7,20260503_121931_mlf_004,mlf_004,evaluation_complete,"{""scores"":{""communication"":3,""conceptual_clarity"":3,""architect_reasoning"":2,""practical_reasoning"":3},""status"":""completed"",""decision"":""borderline"",""reward_summary"":{""run_id"":""20260503_121931_mlf_004"",""decision"":""borderline"",""topic_id"":""mlf_004"",""total_xp"":252,""completed"":true,""xp_earned"":40,""best_stars"":3,""topic_title"":""What a baseline really is"",""badge_labels"":"""",""stars_earned"":3,""badges_awarded"":[],""best_completion_streak"":5,""current_completion_streak"":1},""unlocked_topics"":[""mlf_005""]}",2026-05-03 17:30:07.920566+00
8,20260503_173918_mlf_001,mlf_001,evaluation_complete,"{""scores"":{""communication"":3,""conceptual_clarity"":3,""architect_reasoning"":3,""practical_reasoning"":3},""status"":""completed"",""decision"":""borderline"",""reward_summary"":{""run_id"":""20260503_173918_mlf_001"",""decision"":""borderline"",""topic_id"":""mlf_001"",""total_xp"":292,""completed"":true,""xp_earned"":40,""best_stars"":3,""topic_title"":""What machine learning is actually learning"",""badge_labels"":"""",""stars_earned"":3,""badges_awarded"":[],""best_completion_streak"":5,""current_completion_streak"":2},""unlocked_topics"":[""mlf_002""]}",2026-05-03 19:05:27.357841+00
9,20260508_081616_mlf_005,mlf_005,lesson_started,"{""phase"":""awaiting_user_answers"",""status"":""in_progress"",""selection_mode"":""next_unlocked""}",2026-05-08 08:16:59.776731+00
10,20260508_081616_mlf_005,mlf_005,evaluation_complete,"{""scores"":{""communication"":3,""conceptual_clarity"":3,""architect_reasoning"":3,""practical_reasoning"":3},""status"":""completed"",""decision"":""borderline"",""reward_summary"":{""run_id"":""20260508_081616_mlf_005"",""decision"":""borderline"",""topic_id"":""mlf_005"",""total_xp"":332,""completed"":true,""xp_earned"":40,""best_stars"":3,""topic_title"":""Generalization"",""badge_labels"":""Level Clear: mlf_005, Three-Star Scholar, Clear Streak x3"",""stars_earned"":3,""badges_awarded"":[{""id"":""level_clear_mlf_005"",""label"":""Level Clear: mlf_005"",""description"":""Completed Generalization.""},{""id"":""three_star_scholar"",""label"":""Three-Star Scholar"",""description"":""Earned at least 3 stars on a level.""},{""id"":""clear_streak_3"",""label"":""Clear Streak x3"",""description"":""Completed 3 lessons in a row.""}],""best_completion_streak"":4,""current_completion_streak"":3},""unlocked_topics"":[""mlf_006""]}",2026-05-08 16:55:03.589511+00
