run_id,topic_id,topic_title,phase,status,run_state,created_at,updated_at
20260501_115533_mlf_001,mlf_001,What machine learning is actually learning,evaluation_complete,completed,"{""phase"":""evaluation_complete"",""run_id"":""20260501_115533_mlf_001"",""scores"":{""communication"":3,""conceptual_clarity"":3,""architect_reasoning"":3,""practical_reasoning"":3},""status"":""completed"",""topic_id"":""mlf_001"",""artifacts"":{""answers"":""runs/20260501_115533_mlf_001/answers.json"",""rewards"":""runs/20260501_115533_mlf_001/rewards.json"",""assessment"":""runs/20260501_115533_mlf_001/assessment.json"",""evaluation"":""runs/20260501_115533_mlf_001/evaluation.json"",""concept_note"":""runs/20260501_115533_mlf_001/concept_note.json"",""refined_note"":""notes/refined/mlf_001_refined.md"",""architect_note"":""runs/20260501_115533_mlf_001/architect_note.json"",""answer_coaching"":""runs/20260501_115533_mlf_001/answer_coaching_error.json""},""topic_name"":""What machine learning is actually learning"",""next_action"":""reinforce_and_continue"",""prerequisites"":[]}",2026-05-01 12:13:11.173048+00,2026-05-01 12:13:11.173048+00
20260501_121700_mlf_002,mlf_002,Features vs labels,evaluation_complete,completed,"{""phase"":""evaluation_complete"",""run_id"":""20260501_121700_mlf_002"",""scores"":{""communication"":3,""conceptual_clarity"":3,""architect_reasoning"":2,""practical_reasoning"":3},""status"":""completed"",""topic_id"":""mlf_002"",""artifacts"":{""answers"":""runs/20260501_121700_mlf_002/answers.json"",""rewards"":""runs/20260501_121700_mlf_002/rewards.json"",""assessment"":""runs/20260501_121700_mlf_002/assessment.json"",""evaluation"":""runs/20260501_121700_mlf_002/evaluation.json"",""concept_note"":""runs/20260501_121700_mlf_002/concept_note.json"",""refined_note"":""notes/refined/mlf_002_refined.md"",""architect_note"":""runs/20260501_121700_mlf_002/architect_note.json"",""answer_coaching"":""runs/20260501_121700_mlf_002/answer_coaching_error.json""},""topic_name"":""Features vs labels"",""next_action"":""reinforce_and_continue"",""prerequisites"":[""mlf_001""]}",2026-05-02 07:20:23.81784+00,2026-05-02 07:20:23.81784+00
20260502_072407_mlf_003,mlf_003,Training data vs test data,evaluation_complete,completed,"{""phase"":""evaluation_complete"",""run_id"":""20260502_072407_mlf_003"",""scores"":{""communication"":3,""conceptual_clarity"":3,""architect_reasoning"":3,""practical_reasoning"":3},""status"":""completed"",""topic_id"":""mlf_003"",""artifacts"":{""answers"":""runs/20260502_072407_mlf_003/answers.json"",""rewards"":""runs/20260502_072407_mlf_003/rewards.json"",""assessment"":""runs/20260502_072407_mlf_003/assessment.json"",""evaluation"":""runs/20260502_072407_mlf_003/evaluation.json"",""concept_note"":""runs/20260502_072407_mlf_003/concept_note.json"",""refined_note"":""notes/refined/mlf_003_refined.md"",""architect_note"":""runs/20260502_072407_mlf_003/architect_note.json"",""answer_coaching"":""runs/20260502_072407_mlf_003/answer_coaching_error.json""},""topic_name"":""Training data vs test data"",""next_action"":""reinforce_and_continue"",""prerequisites"":[""mlf_001"",""mlf_002""]}",2026-05-02 13:17:29.025058+00,2026-05-02 13:17:29.025058+00
20260502_212052_mlf_004,mlf_004,What a baseline really is,evaluation_complete,completed,"{""phase"":""evaluation_complete"",""run_id"":""20260502_212052_mlf_004"",""scores"":{""communication"":3,""conceptual_clarity"":3,""architect_reasoning"":2,""practical_reasoning"":3},""status"":""completed"",""topic_id"":""mlf_004"",""artifacts"":{""answers"":""runs/20260502_212052_mlf_004/answers.json"",""rewards"":""runs/20260502_212052_mlf_004/rewards.json"",""assessment"":""runs/20260502_212052_mlf_004/assessment.json"",""evaluation"":""runs/20260502_212052_mlf_004/evaluation.json"",""concept_note"":""runs/20260502_212052_mlf_004/concept_note.json"",""refined_note"":""notes/refined/mlf_004_refined.md"",""architect_note"":""runs/20260502_212052_mlf_004/architect_note.json"",""answer_coaching"":""runs/20260502_212052_mlf_004/answer_coaching_error.json""},""topic_name"":""What a baseline really is"",""next_action"":""reinforce_and_continue"",""prerequisites"":[""mlf_003""]}",2026-05-02 21:39:07.529482+00,2026-05-02 21:39:07.529482+00
20260503_120911_mlf_005,mlf_005,Generalization,evaluation_complete,fail_prereq,"{""phase"":""evaluation_complete"",""run_id"":""20260503_120911_mlf_005"",""scores"":{""communication"":1,""conceptual_clarity"":1,""architect_reasoning"":1,""practical_reasoning"":1},""status"":""fail_prereq"",""topic_id"":""mlf_005"",""artifacts"":{""answers"":""runs/20260503_120911_mlf_005/answers.json"",""rewards"":""runs/20260503_120911_mlf_005/rewards.json"",""assessment"":""runs/20260503_120911_mlf_005/assessment.json"",""evaluation"":""runs/20260503_120911_mlf_005/evaluation.json"",""concept_note"":""runs/20260503_120911_mlf_005/concept_note.json"",""refined_note"":""notes/refined/mlf_005_refined.md"",""architect_note"":""runs/20260503_120911_mlf_005/architect_note.json"",""answer_coaching"":""runs/20260503_120911_mlf_005/answer_coaching.json""},""topic_name"":""Generalization"",""next_action"":""go_to_prerequisite"",""prerequisites"":[""mlf_003""]}",2026-05-03 12:16:23.233578+00,2026-05-03 12:16:23.233578+00
20260503_121931_mlf_004,mlf_004,What a baseline really is,evaluation_complete,completed,"{""phase"":""evaluation_complete"",""run_id"":""20260503_121931_mlf_004"",""scores"":{""communication"":3,""conceptual_clarity"":3,""architect_reasoning"":2,""practical_reasoning"":3},""status"":""completed"",""topic_id"":""mlf_004"",""artifacts"":{""answers"":""runs/20260503_121931_mlf_004/answers.json"",""rewards"":""runs/20260503_121931_mlf_004/rewards.json"",""assessment"":""runs/20260503_121931_mlf_004/assessment.json"",""evaluation"":""runs/20260503_121931_mlf_004/evaluation.json"",""concept_note"":""runs/20260503_121931_mlf_004/concept_note.json"",""refined_note"":""notes/refined/mlf_004_refined.md"",""architect_note"":""runs/20260503_121931_mlf_004/architect_note.json"",""answer_coaching"":""runs/20260503_121931_mlf_004/answer_coaching.json""},""topic_name"":""What a baseline really is"",""next_action"":""reinforce_and_continue"",""prerequisites"":[""mlf_003""]}",2026-05-03 17:30:06.689849+00,2026-05-03 17:30:06.689849+00
20260503_173918_mlf_001,mlf_001,What machine learning is actually learning,evaluation_complete,completed,"{""phase"":""evaluation_complete"",""run_id"":""20260503_173918_mlf_001"",""scores"":{""communication"":3,""conceptual_clarity"":3,""architect_reasoning"":3,""practical_reasoning"":3},""status"":""completed"",""topic_id"":""mlf_001"",""artifacts"":{""answers"":""runs/20260503_173918_mlf_001/answers.json"",""rewards"":""runs/20260503_173918_mlf_001/rewards.json"",""assessment"":""runs/20260503_173918_mlf_001/assessment.json"",""evaluation"":""runs/20260503_173918_mlf_001/evaluation.json"",""concept_note"":""runs/20260503_173918_mlf_001/concept_note.json"",""refined_note"":""notes/refined/mlf_001_refined.md"",""architect_note"":""runs/20260503_173918_mlf_001/architect_note.json"",""answer_coaching"":""runs/20260503_173918_mlf_001/answer_coaching.json""},""topic_name"":""What machine learning is actually learning"",""next_action"":""reinforce_and_continue"",""prerequisites"":[]}",2026-05-03 19:05:26.132208+00,2026-05-03 19:05:26.132208+00
20260508_081616_mlf_005,mlf_005,Generalization,evaluation_complete,completed,"{""phase"":""evaluation_complete"",""run_id"":""20260508_081616_mlf_005"",""scores"":{""communication"":3,""conceptual_clarity"":3,""architect_reasoning"":3,""practical_reasoning"":3},""status"":""completed"",""topic_id"":""mlf_005"",""artifacts"":{""answers"":""runs/20260508_081616_mlf_005/answers.json"",""rewards"":""runs/20260508_081616_mlf_005/rewards.json"",""assessment"":""runs/20260508_081616_mlf_005/assessment.json"",""evaluation"":""runs/20260508_081616_mlf_005/evaluation.json"",""concept_note"":""runs/20260508_081616_mlf_005/concept_note.json"",""refined_note"":""notes/refined/mlf_005_refined.md"",""architect_note"":""runs/20260508_081616_mlf_005/architect_note.json"",""answer_coaching"":""runs/20260508_081616_mlf_005/answer_coaching.json""},""topic_name"":""Generalization"",""next_action"":""reinforce_and_continue"",""prerequisites"":[""mlf_004""]}",2026-05-08 08:16:58.498431+00,2026-05-08 16:55:02.298881+00
20260508_170156_mlf_006,mlf_006,Overfitting vs underfitting,evaluation_complete,completed,"{""phase"":""evaluation_complete"",""run_id"":""20260508_170156_mlf_006"",""scores"":{""communication"":3,""conceptual_clarity"":3,""architect_reasoning"":3,""practical_reasoning"":3},""status"":""completed"",""topic_id"":""mlf_006"",""artifacts"":{""answers"":""runs/20260508_170156_mlf_006/answers.json"",""rewards"":""runs/20260508_170156_mlf_006/rewards.json"",""assessment"":""runs/20260508_170156_mlf_006/assessment.json"",""evaluation"":""runs/20260508_170156_mlf_006/evaluation.json"",""concept_note"":""runs/20260508_170156_mlf_006/concept_note.json"",""refined_note"":""notes/refined/mlf_006_refined.md"",""architect_note"":""runs/20260508_170156_mlf_006/architect_note.json"",""answer_coaching"":""runs/20260508_170156_mlf_006/answer_coaching.json""},""topic_name"":""Overfitting vs underfitting"",""next_action"":""reinforce_and_continue"",""prerequisites"":[""mlf_005""]}",2026-05-08 17:03:01.171381+00,2026-05-08 17:35:22.45656+00
20260508_175037_mlf_007,mlf_007,Data leakage,superseded,superseded,"{""phase"":""superseded"",""run_id"":""20260508_175037_mlf_007"",""scores"":{""communication"":null,""conceptual_clarity"":null,""architect_reasoning"":null,""practical_reasoning"":null},""status"":""superseded"",""topic_id"":""mlf_007"",""artifacts"":{""answers"":""assessments/answers/20260508_175037_mlf_007_answers.json"",""assessment"":""runs/20260508_175037_mlf_007/assessment.json"",""evaluation"":null,""concept_note"":""runs/20260508_175037_mlf_007/concept_note.json"",""refined_note"":null,""architect_note"":""runs/20260508_175037_mlf_007/architect_note.json""},""topic_name"":""Data leakage"",""next_action"":""await_user_answers"",""prerequisites"":[""mlf_006""],""superseded_at"":""2026-06-14T14:35:21.520592+00:00"",""superseded_reason"":""v2_1_cleanup_stale_in_progress_after_latest_redo""}",2026-05-08 17:51:25.34298+00,2026-06-14 14:35:21.520592+00
