topic_id,title,domain,module_id,sequence_no,item_type,difficulty,prerequisites,unlock_after,architect_relevance,tags,is_active,created_at,updated_at
aia_001,Agentic AI outer layer: what agents actually do,agentic_ai,module_000_ai_architect_onion,1,lesson,3,[],,"[""ai_architecture"",""system_design"",""evaluation"",""governance""]","[""onion_path"",""agentic_ai"",""architect_fluency""]",true,2026-06-28 13:32:58.522799+00,2026-06-29 06:46:50.349858+00
aia_002,"Agent loop: goal, plan, tool, observe",agentic_ai,module_000_ai_architect_onion,2,lesson,3,"[""aia_001""]",aia_001,"[""ai_architecture"",""system_design"",""evaluation"",""governance""]","[""onion_path"",""agentic_ai"",""architect_fluency""]",true,2026-06-28 13:32:58.522799+00,2026-06-29 06:46:50.349858+00
aia_003,"Tools, memory, guardrails and human checkpoints",agentic_ai,module_000_ai_architect_onion,3,lesson,3,"[""aia_002""]",aia_002,"[""ai_architecture"",""system_design"",""evaluation"",""governance""]","[""onion_path"",""agentic_ai"",""architect_fluency""]",true,2026-06-28 13:32:58.522799+00,2026-06-29 06:46:50.349858+00
aia_004,Agent planning and task decomposition,agentic_ai,module_000_ai_architect_onion,4,lesson,3,"[""aia_003""]",aia_003,"[""ai_architecture"",""agentic_ai"",""governance"",""evaluation""]","[""onion_path"",""agentic_ai"",""architect_fluency""]",true,2026-06-29 06:46:50.349858+00,2026-06-29 06:46:50.349858+00
aia_005,"Tool calling, APIs and action boundaries",agentic_ai,module_000_ai_architect_onion,5,lesson,3,"[""aia_004""]",aia_004,"[""ai_architecture"",""agentic_ai"",""governance"",""evaluation""]","[""onion_path"",""agentic_ai"",""architect_fluency""]",true,2026-06-29 06:46:50.349858+00,2026-06-29 06:46:50.349858+00
aia_006,"Agent memory, retrieval and state",agentic_ai,module_000_ai_architect_onion,6,lesson,3,"[""aia_005""]",aia_005,"[""ai_architecture"",""agentic_ai"",""governance"",""evaluation""]","[""onion_path"",""agentic_ai"",""architect_fluency""]",true,2026-06-29 06:46:50.349858+00,2026-06-29 06:46:50.349858+00
aia_007,"Human checkpoints, approval and escalation",agentic_ai,module_000_ai_architect_onion,7,lesson,3,"[""aia_006""]",aia_006,"[""ai_architecture"",""agentic_ai"",""governance"",""evaluation""]","[""onion_path"",""agentic_ai"",""architect_fluency""]",true,2026-06-29 06:46:50.349858+00,2026-06-29 06:46:50.349858+00
aia_008,"Agent evaluation: task success, groundedness and safety",agentic_ai,module_000_ai_architect_onion,8,lesson,3,"[""aia_007""]",aia_007,"[""ai_architecture"",""agentic_ai"",""governance"",""evaluation""]","[""onion_path"",""agentic_ai"",""architect_fluency""]",true,2026-06-29 06:46:50.349858+00,2026-06-29 06:46:50.349858+00
aia_009,Multi-agent orchestration and handoffs,agentic_ai,module_000_ai_architect_onion,9,lesson,3,"[""aia_008""]",aia_008,"[""ai_architecture"",""agentic_ai"",""governance"",""evaluation""]","[""onion_path"",""agentic_ai"",""architect_fluency""]",true,2026-06-29 06:46:50.349858+00,2026-06-29 06:46:50.349858+00
aia_010,"Production agent monitoring, cost and rollback",agentic_ai,module_000_ai_architect_onion,10,lesson,3,"[""aia_009""]",aia_009,"[""ai_architecture"",""agentic_ai"",""governance"",""evaluation""]","[""onion_path"",""agentic_ai"",""architect_fluency""]",true,2026-06-29 06:46:50.349858+00,2026-06-29 06:46:50.349858+00
capstone_ml_architect_001,Capstone: Predictive Quality ML Architecture,ml_architect_capstone,module_004_capstone,128,capstone,5,"[""checkpoint_ml_architect_001""]",checkpoint_ml_architect_001,"[""end_to_end_architecture"",""predictive_quality"",""deployment_governance"",""portfolio_evidence""]","[""capstone"",""predictive_quality"",""model_card"",""adr"",""monitoring_plan""]",true,2026-05-22 13:02:54.169349+00,2026-06-28 13:32:58.522799+00
checkpoint_ml_architect_001,Checkpoint 2: ML Architect Readiness Review,module_checkpoint,module_003_checkpoint,127,checkpoint,5,"[""mlf_025""]",mlf_025,"[""cross_topic_synthesis"",""production_approval"",""architecture_governance"",""risk_control""]","[""checkpoint"",""ml_architect"",""readiness"",""scenario_assessment"",""code_lab""]",true,2026-05-22 13:02:54.169349+00,2026-06-28 13:32:58.522799+00
checkpoint_ml_foundations_001,Checkpoint 1: ML Foundations Review,module_checkpoint,module_001_checkpoint,111,checkpoint,3,"[""mlf_010""]",mlf_010,"[""cross_topic_synthesis"",""metric_decision_quality"",""production_readiness_review""]","[""checkpoint"",""ml_foundations"",""evaluation"",""practical_review"",""architecture_readiness""]",true,2026-05-10 14:37:11.672523+00,2026-06-28 13:32:58.522799+00
dl_001,From linear model to neuron,deep_learning_foundations,module_005_deep_learning_nn,129,lesson,3,"[""capstone_ml_architect_001""]",capstone_ml_architect_001,"[""neural_network_foundations"",""production_ml_architecture"",""governed_progression""]","[""deep_learning"",""neural_networks"",""locked_after_capstone""]",true,2026-06-14 14:13:13.797667+00,2026-06-28 13:32:58.522799+00
dl_002,Activation functions and non-linearity,deep_learning_foundations,module_005_deep_learning_nn,130,lesson,3,"[""dl_001""]",dl_001,"[""neural_network_foundations"",""production_ml_architecture"",""governed_progression""]","[""deep_learning"",""neural_networks"",""locked_after_capstone""]",true,2026-06-14 14:13:13.797667+00,2026-06-28 13:32:58.522799+00
dl_003,Forward pass and tensor shapes,deep_learning_foundations,module_005_deep_learning_nn,131,lesson,3,"[""dl_002""]",dl_002,"[""neural_network_foundations"",""production_ml_architecture"",""governed_progression""]","[""deep_learning"",""neural_networks"",""locked_after_capstone""]",true,2026-06-14 14:13:13.797667+00,2026-06-28 13:32:58.522799+00
dl_004,Loss functions for neural networks,deep_learning_foundations,module_005_deep_learning_nn,132,lesson,3,"[""dl_003""]",dl_003,"[""neural_network_foundations"",""production_ml_architecture"",""governed_progression""]","[""deep_learning"",""neural_networks"",""locked_after_capstone""]",true,2026-06-14 14:13:13.797667+00,2026-06-28 13:32:58.522799+00
dl_005,Gradient descent and learning rate,deep_learning_foundations,module_005_deep_learning_nn,133,lesson,3,"[""dl_004""]",dl_004,"[""neural_network_foundations"",""production_ml_architecture"",""governed_progression""]","[""deep_learning"",""neural_networks"",""locked_after_capstone""]",true,2026-06-14 14:13:13.797667+00,2026-06-28 13:32:58.522799+00
dl_006,Backpropagation intuition,deep_learning_foundations,module_005_deep_learning_nn,134,lesson,3,"[""dl_005""]",dl_005,"[""neural_network_foundations"",""production_ml_architecture"",""governed_progression""]","[""deep_learning"",""neural_networks"",""locked_after_capstone""]",true,2026-06-14 14:13:13.797667+00,2026-06-28 13:32:58.522799+00
dl_007,"Training loops, epochs, batches",deep_learning_foundations,module_005_deep_learning_nn,135,lesson,3,"[""dl_006""]",dl_006,"[""neural_network_foundations"",""production_ml_architecture"",""governed_progression""]","[""deep_learning"",""neural_networks"",""locked_after_capstone""]",true,2026-06-14 14:13:13.797667+00,2026-06-28 13:32:58.522799+00
dl_008,Neural network overfitting,deep_learning_foundations,module_005_deep_learning_nn,136,lesson,3,"[""dl_007""]",dl_007,"[""neural_network_foundations"",""production_ml_architecture"",""governed_progression""]","[""deep_learning"",""neural_networks"",""locked_after_capstone""]",true,2026-06-14 14:13:13.797667+00,2026-06-28 13:32:58.522799+00
dl_009,"Dropout, batch normalization and early stopping",deep_learning_foundations,module_005_deep_learning_nn,137,lesson,3,"[""dl_008""]",dl_008,"[""neural_network_foundations"",""production_ml_architecture"",""governed_progression""]","[""deep_learning"",""neural_networks"",""locked_after_capstone""]",true,2026-06-14 14:13:13.797667+00,2026-06-28 13:32:58.522799+00
dl_010,Neural network deployment risks,deep_learning_foundations,module_005_deep_learning_nn,138,lesson,3,"[""dl_009""]",dl_009,"[""neural_network_foundations"",""production_ml_architecture"",""governed_progression""]","[""deep_learning"",""neural_networks"",""locked_after_capstone""]",true,2026-06-14 14:13:13.797667+00,2026-06-28 13:32:58.522799+00
genai_001,GenAI application architecture and LLM limits,generative_ai,module_001_genai_layer,11,lesson,3,"[""aia_010""]",aia_010,"[""ai_architecture"",""system_design"",""evaluation"",""governance""]","[""onion_path"",""generative_ai"",""architect_fluency""]",true,2026-06-28 13:32:58.522799+00,2026-06-29 06:46:50.349858+00
llm_001,"Tokens, embeddings and context windows",llm_fundamentals,module_003_llm_layer,13,lesson,3,"[""rag_001""]",rag_001,"[""ai_architecture"",""system_design"",""evaluation"",""governance""]","[""onion_path"",""llm_fundamentals"",""architect_fluency""]",true,2026-06-28 13:32:58.522799+00,2026-06-29 06:46:50.349858+00
mlf_001,What machine learning is actually learning,machine_learning_fundamentals,module_001_ml_foundations,101,lesson,1,[],,"[""generalization"",""data_dependency"",""model_risk""]","[""learning"",""patterns"",""prediction"",""generalization""]",true,2026-05-10 14:37:11.672523+00,2026-06-28 13:32:58.522799+00
mlf_002,Features vs labels,machine_learning_fundamentals,module_001_ml_foundations,102,lesson,1,"[""mlf_001""]",mlf_001,"[""data_contracts"",""feature_quality"",""label_definition""]","[""features"",""labels"",""supervised_learning"",""data_design""]",true,2026-05-10 14:37:11.672523+00,2026-06-28 13:32:58.522799+00
mlf_003,Training data vs test data,machine_learning_fundamentals,module_001_ml_foundations,103,lesson,1,"[""mlf_002""]",mlf_002,"[""evaluation_discipline"",""data_split_strategy"",""deployment_readiness""]","[""train_test_split"",""evaluation"",""generalization"",""validation""]",true,2026-05-10 14:37:11.672523+00,2026-06-28 13:32:58.522799+00
mlf_004,What a baseline really is,machine_learning_fundamentals,module_001_ml_foundations,104,lesson,1,"[""mlf_003""]",mlf_003,"[""benchmarking"",""solution_justification"",""cost_vs_complexity""]","[""baseline"",""benchmark"",""model_comparison"",""decision_quality""]",true,2026-05-10 14:37:11.672523+00,2026-06-28 13:32:58.522799+00
mlf_005,Generalization,machine_learning_fundamentals,module_001_ml_foundations,105,lesson,2,"[""mlf_004""]",mlf_004,"[""production_reliability"",""distribution_shift"",""model_confidence""]","[""generalization"",""unseen_data"",""robustness"",""reliability""]",true,2026-05-10 14:37:11.672523+00,2026-06-28 13:32:58.522799+00
mlf_006,Overfitting vs underfitting,machine_learning_fundamentals,module_001_ml_foundations,106,lesson,2,"[""mlf_005""]",mlf_005,"[""model_selection"",""capacity_control"",""error_diagnosis""]","[""overfitting"",""underfitting"",""bias_variance"",""model_behavior""]",true,2026-05-10 14:37:11.672523+00,2026-06-28 13:32:58.522799+00
mlf_007,Data leakage,machine_learning_fundamentals,module_001_ml_foundations,107,lesson,2,"[""mlf_006""]",mlf_006,"[""evaluation_failure"",""feature_pipeline_design"",""governance_risk""]","[""data_leakage"",""leakage"",""invalid_evaluation"",""pipeline_risk""]",true,2026-05-10 14:37:11.672523+00,2026-06-28 13:32:58.522799+00
mlf_008,Bias vs variance,evaluation_and_metrics,module_001_ml_foundations,108,lesson,2,"[""mlf_007""]",mlf_007,"[""model_tradeoffs"",""capacity_tuning"",""error_pattern_analysis""]","[""bias"",""variance"",""tradeoff"",""error_analysis""]",true,2026-05-10 14:37:11.672523+00,2026-06-28 13:32:58.522799+00
mlf_009,Why accuracy can lie,evaluation_and_metrics,module_001_ml_foundations,109,lesson,2,"[""mlf_008""]",mlf_008,"[""metric_selection"",""business_alignment"",""false_confidence""]","[""accuracy"",""metrics"",""class_imbalance"",""evaluation_risk""]",true,2026-05-10 14:37:11.672523+00,2026-06-28 13:32:58.522799+00
